Local;Visitante;RESULTADO;Jornada;Clas L;PJ L;PG L;PE V;PP L;GF L;GC L;Ptos L;Clas V;PJ V;PG V;PE V;PP V;GF V;GC V;Ptos V;Alavés;Athletic;Atlético;Barcelona;Betis;Cádiz;Celta;Eibar;Elche;Getafe;Granada;Huesca;Levante;Osasuna;R. Madrid;R. Sociedad;Sevilla;Valencia;Valladolid;Villarreal;F com L;F rec L;TA rec L;TR rec L;F com L;F rec L;TA rec L;TR rec L
Betis;Valladolid;1;2;4;1;1;0;0;1;0;3;7;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;;;;;;
Celta;Valencia;1;2;9;1;0;1;0;0;0;1;1;1;1;0;0;4;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;;;;;;;;
R. Sociedad;R. Madrid;0;2;6;1;0;1;0;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;;;;;
Villarreal;Eibar;1;2;8;1;0;1;0;1;1;1;10;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;
Getafe;Osasuna;1;2;14;0;0;0;0;0;0;0;3;1;1;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;;;;;;;;
Granada;Alavés;1;2;2;1;1;0;0;2;0;3;17;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;
Huesca;Cádiz;2;2;5;1;0;1;0;1;1;1;20;1;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;
Atlético;Granada;1;3;19;1;0;0;1;0;2;0;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;
Barcelona;Villarreal;1;3;4;1;1;0;0;1;0;3;7;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;
Betis;R. Madrid;2;3;9;1;0;1;0;0;0;1;1;1;1;0;0;4;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;
Valencia;Huesca;0;3;6;1;0;1;0;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;;;;;;;;
Valladolid;Celta;0;3;8;1;0;1;0;1;1;1;10;1;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
Alavés;Getafe;0;3;16;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Osasuna;Levante;2;3;14;0;0;0;0;0;0;0;3;1;1;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;;;;;;;;
Eibar;Athletic;2;3;18;1;0;0;1;2;4;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Elche;R. Sociedad;2;3;2;1;1;0;0;2;0;3;17;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;;;;;;;;
Cádiz;Sevilla;2;3;5;1;0;1;0;1;1;1;20;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;
Athletic;Cádiz;2;4;9;1;1;0;0;6;1;3;2;3;2;0;1;5;7;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Celta;Barcelona;2;4;10;1;1;0;0;4;0;3;8;3;1;1;1;3;6;4;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
R. Madrid;Valladolid;1;4;1;3;2;0;1;5;3;6;6;2;1;1;0;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;;;;;;;;
R. Sociedad;Valencia;2;4;5;3;1;1;1;6;5;4;16;3;0;2;1;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;;;;;;;;
Villarreal;Alavés;1;4;17;3;0;2;1;2;4;2;4;3;1;2;0;3;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;
Sevilla;Levante;1;4;19;3;0;1;2;1;3;1;7;2;1;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;;;;;;;;
Eibar;Elche;2;4;13;3;1;0;2;3;4;3;12;2;1;0;1;5;5;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Getafe;Betis;1;4;18;3;0;1;2;2;4;1;14;2;1;0;1;2;3;3;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
