IBEX35;1er TRIM.;2o TRIM.;3er TRIM
Acciona;1.037846482;0.895223421;1.064830752
Acerinox;0.6187251;1.155827431;0.975487465
ACS;0.499719495;1.259612686;0.862967914
Aena;0.583695015;1.19272508;1.00505476
Almirall;0.704644809;1.112834432;0.834059233
Amadeus;0.593406593;1.073611111;1.026088831
ArcelorMittal (3);0.553777209;1.082427746;1.215636014
Banco Sabadell;0.438461538;0.677631579;0.961165049
Banco Santander;0.59463807;0.980162308;0.735970561
Bankia;0.534944824;0.931237721;1.310126582
Bankinter;0.511941212;1.269437799;0.866195524
BBVA;0.584988962;1.051114923;0.774151436
CaixaBank;0.607142857;1.118235294;0.953708574
Cellnex;1.007297368;1.308408797;1.028277635
Cie Automotive;0.666982922;1.110953058;1.032650448
Colonial;0.760123239;0.907932831;0.899872449
Enagas;0.795734389;1.2019895;0.905517241
Endesa;0.818411097;1.126348228;1.041039672
Ferrovial;0.675120504;1.301625659;0.875527426
Grifols;0.987273306;0.871092491;0.90972993
IAG;0.33240612;1.041841004;0.409638554
Iberdrola;0.970607735;1.133196721;1.055856942
Inditex;0.752305246;0.996196112;1.009758167
Indra;0.731827112;0.938926174;0.868477484
Mapfre;0.659322034;1.017994859;0.844065657
Meliá;0.493638677;0.974742268;0.828662084
Merlin Properties;0.537138389;1.074235808;0.966124661
Naturgy;0.719419643;1.027924294;1.033504377
Pharmamar;14.04369748;1.795117281;1.2
Red Eléctrica;0.912970711;1.014665445;0.964468534
Repsol;0.566618808;0.986443684;0.734908811
Siemens Gamesa (4);0.878157979;1.149308084;1.463244613
Solaria;1.127941176;1.475880052;1.426678445
Telefónica;0.643488036;1.059895183;0.691546974
Viscofan;1.058174098;1.165730337;0.979345955
